id,sentence,class
39,"&quot;B&amp;W's Factory&quot; means B&amp;W's manufacturing facility located in Macon, Georgia.",0
40,Medica may not reject any purchase order that complies with the provisions of this Article 3.,1
41,"Medica and Nephros each grants the other a limited, nonexclusive, royaltyfree license to its Intellectual Property (whether preexisting or arising in connection with this agreement) to the extent necessary to permit it to carry out its obligations under this agreement.",1
42,"If the Indemnifying Party does not dispute that the Indemnified Party is entitled to indemnification with respect to that Claim by notice to the Indemnified Party prior to the expiration of a 30BusinessDay period following receipt by the Indemnifying Party of notice of that Claim from the Indemnified Party, that Claim will be conclusively deemed a liability of the Indemnifying Party and the Indemnifying Party shall pay the amount of that liability to the Indemnified Party on demand or, in the case of any notice in which the amount of the Claim (or any portion thereof) is estimated, on such later date as the amount of the Claim (or any portion thereof) becomes finally determined.",1
43,al.,0
44,SEPRACOR shall pay 3M's invoices for such Licensed Products within [**] days of the date of 3M's invoice.,1
45,It turned out that the line was more expensive than expected.,0
46,"(f) If it notifies Medica no later than 30 days prior to the date of delivery specified in any purchase order, Nephros may elect, with respect to some or all of the Cartridges ordered in that purchase order, to postpone that date of delivery to a date that is a number of days after the date of delivery specified in that purchase order equal to the number of days between the date that purchase order was delivered to Medica and the delivery date specified in that purchase order.",1
47,Either party may terminate this Agreement immediately provided cause exists pursuant to paragraph 16 and the procedure set forth in paragraph 16 of this Agreement is followed.,1
48,The Spur Facility shall be a segregated portion of the MOPAC Plant off the main kill line in which cattle supplied by Producers (as hereinafter defined) participating in the Program (as hereinafter de 2 4 fined) are set aside from other cattle to be processed in the MOPAC Plant.,1
49,b) All individual complaints shall be communicated to Nephros for evaluation and confirmation.,1
50,"The term ""Licensed Product"" means Product containing the Compound levalbuterol tartrate.",0
51,"i) Medica shall copy Nephros Quality Assurance within 2448 hours on all and any vigilance reporting, including health outcome, relationship between the incidents, and timeliness of reporting the vigilance incident to the Competent Authorities.",1
52,"If SEPRACOR elects to make such changes, 3M will upon request propose a revised Scaleup Program and budget.",1
53,"Unless Customer and Contractor mutually agree in writing on a different system, Customer agrees to provide Contractor with a weekly schedule of production requirements for an eight (8) week rolling forecast.",1
54,"Brocade Manufacturing Agreement BROCADE CONFIDENTIAL Page 1 of 20 1.9 ""Purchase Order"" means a Brocade purchase order for the purchase of the Products issued to Hon Hai pursuant to the provisions of this Agreement.",0
55,"Medica shall permit 8 up to two individuals selected by Nephros to attend any such inspections and shall provide Nephros with an accurate and reasonably complete description of any such inquiries, notifications, or inspections.",1
56,"For purposes of this Agreement, ""Applicable Laws"" shall include, without limitation, the FFDCA, the regulations promulgated thereunder (including, without limitation, those regulations currently contained in Title 21 of the Code of Federal Regulations), and other rules and regulations promulgated under the FFDCA relating to the manufacture of pharmaceutical products; and equivalent laws, regulations and standards promulgated by a Government Authority that may assert jurisdiction over the Finished Product or any applicable Patheon manufacturing facilities, including without limitation, the laws of the Province of Ontario and the laws of Canada applicable therein; GMP, including the FDA's Guidance for Industry, Manufacturing, Processing or Holding Active Pharmaceutical Ingredients, March 1998, and any updates thereto; and the FDA's regulations for drug establishment registration.",1
57,"Notwithstanding the foregoing provisions of this paragraph, the provisions of Section 6 shall survive any expiration or earlier termination of this Agreement.",1
58,2.3.,0
59,2.2.,0
60,The Spur Facility will be in accordance with the plans and specifications attached hereto as Exhibit I.2.,1
61,"(b) No more than once in any twelve (12) month period during the term and for one (1) year thereafter, Eon shall be entitled to appoint an independent auditor bound to confidentiality to audit, during regular business hours and upon reasonable prior notice, DAS's relevant books and records for the purpose of verifying the accuracy of the calculations of Net Margin provided pursuant to Section 4.4(a) hereof.",1
62,"Medica shall at Nephros's request give Nephros and any designee of Nephros reasonable access to Medica's facilities, procedures, and books and records, including Medica's protocols, standard operating procedures (SOPs), equipment specifications, and manufacturing records, for purposes of (1) observing manufacturing operations and (2) auditing and inspecting Medica's facilities for compliance with applicable Laws and the terms of this agreement.",1
63,Contractor shall store all Product Supplies in accordance with Good Manufacturing Practices prevailing in the industry and in strict compliance with the terms and conditions set forth in Exhibit II.,1
64,4.01 B&amp;W shall invoice Star for the quantity of the Brands shipped by B&amp;W on a weekly basis.,1
65,"Nephros and Medica wish for Medica to manufacture Cartridges for Nephros, using fiber provided by a supplier designated by Nephros, and ship them to purchasers designated by Nephros.",0
66,"MOPAC 3 5 shall have no obligation whatsoever with regard to feeding, inoculating or otherwise caring for the cattle in the Program, attending to the condition of such cattle or maintaining any medical records or feeding records with respect to such cattle; and Biopure shall contract directly with, and pay all compensation to, such Producers with respect to participation in the Program.",1
67,"Should Company modify equipment without the consent of Supplier, the Equipment warranty for that particular Equipment shall become void.",1
68,"Via Degli Artigiani, 6 41036 Medolla (MO) Italy Attention: Daniele Giubertoni MKTG & sales Manager Facsimile: 39053552605 Email: sales@medica.it (b) Nephros shall order for delivery in any given month an aggregate number of Cartridges equal to at least 90% of the final amount forecast for that month in the Rolling Forecasts (that quantity, the ""Final Forecast Quantity"").",1
69,"For the purpose hereof ""fair market value"" shall mean, without limitation, the value of such Final Product sold to similar third parties in similar quantities.",1
70,3.3 Each Party shall use good faith reasonable efforts to perform those duties assigned to it in the Scaleup Program.,1
71,(e) Inventorship will be determined according to applicable patent law.,1
72,* ______________________________ *Certain information on this page has been omitted and filed separately with the Commission.,0
73,"Customer and Supplier agree that so long as the WalMart Agreement remains in effect, Customer shall purchase exclusively from Supplier, in accordance with the terms of the Project Plan described below, all computers and computer components, including, without limitation, all point of sale equipment and other hardware (the ""Equipment""), software manufactured or supplied by Supplier (the ""Software""), and the various training, consulting, installation, and support services (hereinafter ""Services"") necessary for Customer to operate and manage the Coffee Stores.",1
74,"Autotote grants to Sisal the right to use the ideas, patents and other rights embodied in the Terminal.",1
75,"PACKING, MARKING AND RISK OR LOSS All items shall be appropriately packaged, marked and otherwise prepared in a manner to obtain the lowest reasonable shipping rates unless contrary instructions are received in writing from Buyer.",1
76,5 5.5 Fiber.,0
77,&quot;Cylinders&quot; means the dies utilized to print the packaging materials for the Brands.,0
78,"Upon any transfer, the transferee shall be responsible for inspecting the item(s) of equipment and notifying the transferor in writing immediately, but in any event no later than five (5) calendar days thereafter, of any and every item which is not in good and proper working condition.",1
79,c. Confidentiality of Software.,0
80,"1.7 ""BUSINESS DAY"" means any day other than a Saturday, Sunday or statutory holiday in Ontario, Canada or San Diego, California.",0
81,"(e) Nephros' execution and delivery of this agreement and performance of its obligations under this agreement do not (A) violate any provision of Nephros' articles of incorporation or bylaws as currently in effect, or (B) violate any Law or Order currently in effect to which Nephros is subject.",0
82,"3 to the V2500 General Terms of Sale between IAE International Aero Engines AG (""IAE"") and New Air Corporation (""New Air"") dated May 4, 1999 Gentlemen: We refer to the V2500 General Terms of Sale bearing reference marks P:\NewAir\airgta.doc dated May 4, 1999 between IAE and New Air as amended by Side Letter Nos.",0
83,5.02 The shipping pallets will remain the property of B&amp;W. Star shall return the shipping pallets to B&amp;W's Factory or other designated location within thirty (30) days of Note: Redacted portions have been marked with [***].,1
84,"6.3 3M agrees to provide SEPRACOR as of the Effective Date, with: (a) a right of reference to (i) data held by the International Pharmaceutical Aerosol Consortium for Toxicology Testing of}IFA134a (""IPACT I"") consistent with 3M's obligations to IPACT I, and (ii) any additional 3M data for which 3M has the right to grant a right of reference relating specifically to [**] that has previously been required by FDA in connection with approval of an [**]; and (b) a right of reference that would authorize FDA to access all studies conducted by 3M or contracted by 3M in [**], including but not limited to toxicological and chronic human safety data and all pertinent crossreferenced information, (as approved on August 15, 1996) expressly for the purpose of review to substantiate the preclinical and clinical safety of albuterol in a formulation containing [**].",1
85,Delivery of replacements shall be accompanied by written notice specifying that items are replacements.,1
86,"(e.g., ""As a condition of data plating the engine, IAE ensures that all applicable FAA issued ADs have been complied with"").",1
87,"Subject to Section 3.2(f), Medica shall deliver by the delivery date specified in a purchase order all of the Cartridges specified in that purchase order.",1
88,"If the new time estimate exceeds the original estimate by more than 20%, the Parties shall discuss how to minimize the additional time.",1
89,Either Party may change its Coordinator by written notice to the other Party.,1
90,Nephros represents to Medica as follows: (a) Nephros is a corporation validly existing and in good standing under the law of the State of Delaware with the power to own all of its properties and assets and to carry on its business as it is currently being conducted.,0
91,"Freight from [***] to Star's Bonded Warehouse in Petersburg, Virginia will be coordinated and paid by B&amp;W but billed to Star as an additional charge with each invoice.",1
92,"(g) Medica's execution and delivery of this agreement and performance of its obligations under this agreement do not (A) violate any provision of its articles of incorporation or bylaws, as applicable, as currently in effect, (B) conflict with, result in a breach of, constitute a default under (or an event which, with notice or lapse of time or both, would constitute a default under), accelerate the performance required by, result in the creation of any Lien upon any of its properties or assets under, or create in any party the right to accelerate, terminate, modify, or cancel, or require any notice under, any Contract to which it is a party or by which any of its properties or assets are bound, or (C) violate any Law or Order currently in effect to which it is subject.",0
93,"SUPPLY AND MANUFACTURING AGREEMENT Agreement, dated as of July 20, 2000 (the ""Effective Date""), by and between DRUGABUSE SCIENCES, INC. (""DAS""), a California corporation with offices at 330 Distel Circle, Suite 150, Los Altos, CA 94022, and EON LABS MANUFACTURING, INC. (""Eon""), a Delaware corporation with offices at 22715 North Conduit Ave., Laurelton, NY 11413.",0
94,"Each of Motorola and ASE is a ""Party"".",0
95,(b) A party receiving Confidential Information may disclose it to those of its Representatives who need to review that Confidential Information in connection with that party's performance of its obligations and evaluation of its rights under this agreement.,1
96,3 2.9 REJECTION OF PRODUCT IN CASE OF NONCONFORMITY.,0
97,"5.2 SEPRACOR shall promptly provide 3M with all information in or coming into its possession concerning the Compound that 3M will reasonably require for the safe handling, storage, testing, use and transport of the Compound.",1
98,(b) This Letter Agreement shall be governed by the laws of the State of New York.,1
99,APPROVAL OF THIRD LINE PLAN.,0
100,2 shall have the meanings assigned thereto in the Contract.,1
101,b) At the same time both parties realized that there are desirable changes in the design of the Seed Trains that may increase their technical life time and improve their quality.,0
102,"WHEREAS, B&amp;W and Star are in the business of manufacturing cigarettes, including the manufacture and processing of component parts of cigarettes; and WHEREAS, Star is willing to pay B&amp;W to manufacture for sale to Star and Star agrees to purchase its designated requirements of Star cigarette brands from B&amp;W; and WHEREAS, B&amp;W will provide additional services to Star, including the procurement of leaf stocks, blend formulation and administrative services; NOW THEREFORE, in consideration of the mutual representations, warranties and covenants and subject to the terms and conditions herein contained, the Parties hereto agree as follows: 1.",1
103,"(a) In order to be entitled to indemnification under this Article 11 in connection with a claim made by any Person against any other Person with respect to which that other Person (an ""Indemnified Party"") is entitled to indemnification pursuant to this Article 11 (any such claim, a ""Third Party Claim""), that Indemnified Party must do the following: (1) notify the Person or Persons obligated to indemnify it (the ""Indemnifying Party"") in writing, and in reasonable detail, of that Third Party Claim as soon as possible but in any event within 10 Business Days after receipt of notice of that Third Party Claim, except that any failure to give any such notification will only affect the Indemnifying Party's obligation to indemnify the Indemnified Party if the Indemnifying Party has been prejudiced as a result of that failure; and (2) deliver to the Indemnifying Party as soon as possible but in any event within 10 Business Days after the Indemnified Party receives a copy of all notices and documents (including court papers) delivered to that Indemnified Party relating to that Third Party Claim.",1
104,"3.05 All Orders under this Agreement shall be submitted to B&amp;W at B&amp;W's Factory and shall set forth the weekly quantity for each Style/Brand, and the general shipping instructions including a destination address which must be a Bonded Warehouse.",1
105,"2.5., Sisal shall have the onetime option, after 7,000 Terminals have been supplied by Autotote, to confirm, by written notice to Autotote, the order for the precise amount of Terminals, over 10,000, to be manufactured by Autotote and supplied through EIS.",1
106,"3 Recycling of radioactive Seed Trains/Decommissioning a) BEBIG will accept free of charge, for the period until August 22, 2002, returned radioactive SeedTrains from NOVOSTE, as long as the following conditions are met: (1) The number of returned trains in any given year that are unfit for recycling (""Disposal Trains"") does not exceed 20 % of the total number of returned trains in that year.",1
107,Nephros may order for delivery in any given Quarter an aggregate quantity of Cartridge not exceeding 110% of the Final Forecast Quantity.,1
108,"This Subsection shall not apply to capital equipment additions within the contemplation of the Parties prior to the effective date of this Agreement, which includes ASE's approved * for the Chung Li Facility and another * planned to support Motorola's MAPBGA rampup.",1
109,COMPENSATION AND PRICES 5.1.,0
110,Invoices shall be accompanied by a bill of lading or express receipt when appropriate.,1
111,"For the sake of administrative ease, by *, JANSSEN and ACT II will agree in good faith on the ""U.S.",1
112,"SEPRACOR shall use good faith reasonable efforts to inform 3M of such commitments and to consult 3M in connection with any such commitments that raise CMC issues and shall reimburse 3M for additional costs reasonably incurred as a result of such commitments, and 3M shall use good faith reasonable efforts in order to operate in a manner that facilitates compliance with such commitments.",1
113,"Except as otherwise agreed in writing, all tangible property (excluding the NavTech Database and related software) created or generated specifically for Buyer in the course of Supplier's performance under this order, including without limitation printed materials, artwork, designs, concepts, plates, audiovisual materials, negatives, drawings, mechanicals and photographs, are the property of Buyer and should be so marked.",1
114,"If in the course of performing the Work ASE determines that it shall be unable to complete it within the time and monetary limitations specified pursuant to the terms hereof, ASE shall notify Motorola promptly of such determination in writing.",1
115,"If requested by New Air, IAE will additionally provide a compliance statement with such listing.",1
116,"6.4 If requested by SEPRACOR and in accordance with the Scaleup Program, 3M shall manufacture and supply SEPRACOR with Licensed Product, including Licensed Product for use in clinical studies or toxicology studies, at prices calculated in the manner set out in Schedule 6.4 using reasonable endeavors to supply SEPRACOR in time to meet its needs.",1
117,h. Warranty.,0
118,The Medica name shall appear in small print on the Nephros product label as contact information regarding complaint and vigilance reporting.,1
119,"Medica 3 will invoice all deliveries for European customers to Nephros Europe, which will also provide the payment.",1
120,"Sisal shall have the rights, as owner of the Terminals bought from Autotote or EIS, to use, adapt and make available such Terminals for the exploitation of the Business in the Territory and to sell them also in other countries.",1
121,"COORDINATION (A) Each Party shall designate a coordinator (the ""COORDINATOR"") to represent that Party in the implementation of this Agreement.",1
122,"The parties wish to enter into arrangements on the terms and subject to the conditions set forth in this Agreement to provide o A spur facility at which Material can be obtained from U.S. Department of Agriculture (&quot;USDA&quot;) passed and approved cattle; and o A separation facility wherein Biopure can carry out the initial (separation) steps in the manufacture of Product from Material supplied by MOPAC; and 3 o Introducing Biopure to MOPAC's herd sources, so that Biopure may endeavor to directly contract with such sources for Material; and o At the option of MOPAC, an investment by MOPAC in Biopure.",0
123,"During the term of this Agreement, Customer agrees that it will not purchase Equipment, Software or Services specified in the Project Plan from any vendor, other than Supplier, unless Supplier consents in writing to such purchase.",1
124,"Identification means any copy or semblance of any trade name, trademark, service mark, insignia, symbol, logo, or any other product, service, or organization designation, or any specification or drawing of AT&amp;T Corp. or an Associated Entity, or evidence of inspection by or for any of them.",0
125,Such negotiation shall include good faith attempts of the Parties to find alternative uses for such equipment.,1
126,It is DAS's intention to develop [******] for Product.,0
127,"In the event of conflict or inconsistency between any of the terms and conditions of this Agreement, the conflict or inconsistency shall be resolved according to the following order of priority: the clauses of the Agreement, the schedules, the recitals.",1
128,"This investment obligation has been increased by an additional amount of DM 1,000,000.00 by the foregoing Agreement under A.",0
129,"3M has experience and technology in the formulation, scaleup, and manufacture of pharmaceutical products in aerosols for inhalation therapy.",0
130,"ACT II will design, engineer, construct and validate a third wet process line at its manufacturing facility located in Wilmington, Ohio (the ""Third Line"").",1
131,"All such records shall be retained by Contractor for a period of at least three (3) years or longer if so required by federal, state or local laws, rules or regulations.",1
132,12.3 No Liability for Consequential Damages.,0
133,* Certain information on this page has been omitted and filed separately with the Securities and Exchange Commission.,0
134,"This emergency spare engine pool will be available to New Air, if required, under IAE's standard terms of business for lease of V2500 engines, provided that New Air commits to acquire and continues to operate and maintain with respect to its Aircraft a minimum of eight percent (8%) ratio of spare Engines to installed Engines in each thrust category.",1
135,"Titles to all additions, parts, accessories, improvements and attachments to any equipment which is Bailed Property, whether provided by ASE or Motorola, shall immediately vest in Motorola and shall be deemed thereafter to constitute a part of the Bailed Property.",1
136,EMERGENCY ENGINE LEASE POOL SUPPORT IAE has established a worldwide pool of V2500 emergency spare engines for lease to operators of V2500 powered aircraft experiencing unforeseen operational emergencies.,0
137,"(D) If ASE is required to apply Motorola's name, trademark, logo or similar information (collectively, the ""MARKS"") on any Contract Products, ASE agrees that it shall not acquire or claim any right, title or interest thereto, nor shall it use any of the Marks in any other manner except as has been specifically authorized in writing by Motorola.",1
138,"The beginning of &quot;Year 1&quot; as shown on Exhibit I.3 will be January 1, 1995.",1
139,"b) For the first XXXXX trains delivered to NOVOSTE after the execution of this Agreement, the XXXXX period shall commence with the day of the first clinical use of the train.",1
140,All payments shall be made to Supplier not later than the agreed number of days from date of invoice.,1
141,(c) The provisions of this Section 10.2 will survive termination or expiration of this agreement and will continue for a period of 5 years from the date of that termination or expiration.,1
142,"1.2 ""Brocade Technology"" means the Technology and all Derivatives thereof (a) provided by Brocade to Hon Hai pursuant to this Agreement, or (b) developed by Brocade pursuant to this Agreement, or (c) developed by Brocade or Hon Hai pursuant to a Statement of Work; provided, however, that such Technology is not Hon Hai Technology.",0
143,The results obtained by the laboratory shall be binding on the Parties for purposes of this Agreement.,1
144,"1.16 ""Net Sales Price"" shall mean the price received by SEPRACOR, their Affiliates, or permitted sublicensees for Licensed Product from wholesalers, distributors, managed healthcare organizations, or similar entities at the same level of distribution in arms length transactions involving cash as the sole consideration, which shall not include transfers within or between SEPRACOR, their Affiliates or sublicensees, after deduction of freight and insurance, rebates and chargebacks granted to managed health care organizations or to federal, state and local governments, their agencies, and purchasers and reimbursers or to trade customers, including but not limited to, wholesalers and chain and pharmacy buying groups, other trade and quantity discounts actually given, sales or value added taxes, and credits and allowances for returns.",1
145,1.8 If Customer has previously paid Contractor for Product which is later rejected by Customer and which (Subject to paragraph 2.3 below) was (i) not rejected because of inferior materials supplied by Customer; or (ii) Customer handling and storage of Product then Customer shall invoice Contractor for the Pack Fee amounts of such rejected Product and for any freight; handling or other disposition costs or expenses incurred by Customer in connection with such rejected Product.,1
146,"Upon termination of this Agreement, Eon shall, at DAS's option, either provide the Tooling to DAS or destroy it.",1
147,The Installation Date; and 6.,0
148,"Autotote shall make available to Sisal one (1) working prototype of the Terminal by May 1, 1998.",1
149,4.5.,0
150,"On or prior to the first day of each subsequent month, Nephros shall deliver to Medica an update to its previously submitted forecast of its expected purchases of Cartridges (each forecast delivered pursuant to this Section 2.1(a), a ""Rolling Forecast"").",1
151,"1.10 ""REGULATORY AUTHORITY"" shall mean the FDA or such other agency or instrumentality of the United States to which the responsibilities of the FDA are given or delegated.",1
152,10.2 Confidentiality.,0
153,"2.2 Security Collateral A 2.2.1 As far as BEBIG is the owner or the coowner of the Security Collateral A, BEBIG transfers to NOVOSTE the ownership or the coownership.",0
154,"C. Customer desires to purchase from Supplier all computers and computer components including pointofsale equipment, hardware, and software, and related services necessary to manage and operate the Coffee Stores and Supplier desires to provide the foregoing to Customer on the terms and conditions set forth herein.",0
155,1.3 Medica Exclusivity.,0
156,"TOLL PROCESSING AGREEMENT THIS AGREEMENT is made this 16th day of August, 1999, by and between EMERGE INTERACTIVE, INC., (formerly EMERGE VISION SYSTEMS, INC.) a Delaware corporation (&quot;EMERGE&quot;), and ADM ANIMAL HEALTH &amp; NUTRITION, a division of ARCHERDANIELSMIDLAND COMPANY, a Delaware corporation (&quot;ADM&quot;).",0
157,"(c) Intellectual Property, whether or not patentable, that arises in connection with this agreement and is made solely by an employee or agent of a party with reference to Confidential Information or Intellectual Property of Medica (in the case of Nephros) or Nephros (in the case of Medica) or is made jointly by employees or agents of Nephros and Medica will be jointly owned (that Intellectual Property, ""Joint Inventions"").",1
158,6.4 Vigilance System.,0
159,2.10 STABILITY STUDIES AND RELATED TESTING.,0
160,"The license term is perpetual and shall continue as long as Customer continues as a viable entity, the fees for support and maintenance are current and the other terms of this Agreement are met.",1
161,"Confidential treatment has been requested with respect to the omitted portions 7 8 quantities, shipping instructions and requested shipment dates.",0
162,"Customer has entered into an agreement with [WalMart] (the ""WalMart Agreement"") to operate and manage coffee stores (the ""Coffee Stores"") within all WalMart stores located in the territory consisting of [USA].",0
163,12.2 Procedures Relating to Indemnification.,0
164,"Alternatively, IAE can make reasonable quantities of training available at New Air's base at New York City's JFK airport.",1
165,"1.5 ""LOT QUANTITY"" or ""LOT QUANTITIES"" shall [******], or such other amounts as the Parties may agree to in writing from time to time.",1
166,"The location at which the Equipment is to be installed or the Materials to be delivered and used including floor, street, city and state; 5.",0
167,The Parties shall complete the check provided in art.,1
168,"Nephros shall deliver all purchase orders by facsimile, or by one of the means specified in Section 14.8 for giving notice, to Medica at the following address and facsimile number or as otherwise instructed by Medics: Medica s.r.l.",1
169,"The sole purpose of the blanket purchase order is to establish the price for each Contract Product, as set forth in the Supplements to this Agreement and any new Contract Products added to this Agreement, and to provide a purchase order number which ASE's invoices shall reference.",1
170,Customer shall receive credit from Contractor within thirty (30) days of such invoice.,1
171,"A customer support representatives will be primarily assigned to New Air, at no charge, for as long as New Air operates a minimum of ten (10) Aircraft.",1
172,"Star will pay, without offset or setoff, all amounts due to B&amp;W for manufacturing of the Brands, freight insurance and other applicable charges within ten (10) days of the date of B&amp;W's invoice by wire transfer to: Note: Redacted portions have been marked with [***].",1
173,"3M agrees to provide a right to reference such information only for purposes of facilitating regulatory approval of Licensed Product and SEPRACOR shall not 6 use or disclose such information for any other purpose, including clinical comparisons between levalbuterol and albuterol apart from those comparisons that facilitate evaluation of the safety of levalbuterol in a formulation containing [**].",1
174,"(a) In manufacturing Cartridges, Medica shall use fiber supplied by Membrana Gmbh, a German company (""Membrana""), or other fiber suppliers as specified by Nephros.",1
175,This Side Letter No.,0
176,9.,0
177,3.02 [***] Note: Redacted portions have been marked with [***].,0
178,2 3 2.,0
179,[***] Note: Redacted portions have been marked with [***].,0
180,Such changes shall not be effective unless in writing and signed by a duly authorized officer of Customer.,1
181,"1.4 ""FDA"" shall mean the United States Food and Drug Administration.",1
182,"c) Furthermore, both parties see a need to address the issue of recycling and disposal of used radioactive trains.",0
183,7.3 Manufacturing Problems.,0
184,All payments for Product delivered to DAS by Eon hereunder shall be [******] therefor.,1
185,"Furthermore, BEBIG promised an annual delivery of XXXXX SeedTrains under Para.",1
186,"Installation and related charges are subject to change due to Customer's failure to complete site readiness, nonstandard site conditions, force majeure events or delays caused by Customer.",1
187,"When Customer is in need of Equipment, Software or Services to be provided by Supplier under the terms of the Project Plan, Customer shall issue a purchase order to Supplier specifying the type and amount of Equipment, Software and Services to be purchased from Supplier.",1
